level1;Bane 1
level2;Bane 2
level3;Bane 3
level4;Bane 4
level5;Bane 5
level6;Bane 6
level7;Bane 7
level8;Bane 8
level9;Bane 9
level10;Bane 10
level11;Bane 11
popupNotEnoguhPenguins; Du har ikke nok pingviner
toPlayTheLevel; til at spille banen! DK
backsettings; Tilbage
settings; Indstillinger
credits; creditsDK
sound; lyd
language; sprog
tooltips; hjælp?
info; info
place; Træk et redskab fra kanpperne i bunden ud på isen
move; Tryk og træk et redskab fra isen til et andet sted på isen
remove; Tryk på et redskab og træk det væk fra banen og giv slip når det bliver rødt
jump; Brug dit nye hoppe redskab som det andet
switchlane; Brug skift bane til at få penguinerne til at skifte deres bane
thisWorldIsLocked; Denne verden er låst
seconds; sek
shopHatchSpeed; +1x for hvert køb
shopHatchSpeed2; Nedtælling
shopPenguinSpace; Ekstra Pingvin
shopPenguinSpace2; Plads
shopHatchPenguin; Udklæk en
shopHatchPenguin2; Pingvin
shopFreezeTime; 1x Tids frys
shopBuyFish; 500 gyldne fisk
penguin; Pingvin
hatch; Udklæk
toNextEgg; til næste æg
youWon; Du vandt
thisLevel; Denne bane
total; Total DK
next; Næste DK
retry; Omkamp DK
replay; Prøv igen DK
tooltipUseTheJumppad; Brug hoppe redskabet for at få fiskene
tooltipDragJumppad; Træk fra ikonet til isen
youAreDead;Du er død
