level1;Level 1
level2;Level 2
level3;Level 3
level4;Level 4
level5;Level 5
level6;Level 6
level7;Level 7
level8;Level 8
level9;Level 9
level10;Level 10
level11;Level 11
popupNotEnoguhPenguins; Not enough penguins
toPlayTheLevel; to play the level!
backsettings; Back
settings; settings
credits; credits
sound; sound
tooltips; help?
info; info
language; language
place; Drag from the icon to the iceberg
move1; Click the arrow sign and move it
move2; to a different location
remove1; Click and drag a tool until it becomes red
remove2;then release to return it to your stash
jump; Write here tooltip for explaining jump EN
switchlane; Use the arrow sign to switch lane
thisWorldIsLocked; This world is locked!
seconds; sec
shopHatchSpeed; Retry key
shopPenguinSpace;Extra Penguin
shopPenguinSpace2;Space
shopHatchPenguin; Buy a
shopHatchPenguin2;Penguin
shopFreezeTime; 1x Freezetime
shopBuyFish; 500 goldfish
penguin; Penguin
hatch; Hatch
toNextEgg; to next egg
youWon; You Won
thisLevel; This Level
total; Total
next; Next
retry; Retry
replay; Replay
tooltipUseTheJumppad; Use the jumppad to get the fish!
tooltipDragJumppad; Drag from the icon to the iceberg
youAreDead;You lose
on; on
off;off
starsNextWorld1;You need 
starsNextWorld2;To unlock all levels
SFX;SFX
Music;Music
